iter	Passed	Remaining
0	142	141885
1	146	73280
2	151	50262
3	155	38715
4	158	31468
5	160	26591
6	163	23187
7	166	20586
8	168	18569
9	171	16970
10	174	15683
11	176	14559
12	179	13607
13	181	12802
14	184	12107
15	187	11506
16	189	10955
17	191	10470
18	194	10034
19	196	9645
20	199	9297
21	201	8976
22	204	8679
23	206	8409
24	209	8169
25	212	7947
26	214	7739
27	217	7546
28	219	7363
29	222	7200
30	225	7037
31	227	6889
32	230	6754
33	232	6617
34	234	6474
35	236	6335
36	238	6203
37	240	6081
38	242	5966
39	243	5855
40	245	5748
41	247	5647
42	249	5546
43	251	5457
44	252	5366
45	254	5285
46	256	5203
47	258	5129
48	260	5054
49	262	4982
50	264	4913
51	265	4849
52	267	4782
53	269	4721
54	271	4663
55	273	4603
56	274	4549
57	276	4497
58	278	4445
59	280	4392
60	282	4342
61	284	4296
62	285	4249
63	287	4205
64	289	4160
65	291	4118
66	292	4079
67	293	4027
68	295	3986
69	296	3944
70	298	3904
71	299	3865
72	301	3826
73	302	3790
74	304	3750
75	305	3711
76	306	3673
77	307	3637
78	308	3601
79	310	3565
80	311	3531
81	312	3495
82	313	3461
83	314	3427
84	314	3390
85	316	3358
86	316	3323
87	317	3293
88	318	3263
89	319	3233
90	320	3204
91	321	3175
92	322	3147
93	323	3119
94	324	3091
95	325	3064
96	326	3036
97	327	3011
98	328	2985
99	328	2959
100	329	2935
101	330	2907
102	331	2883
103	332	2860
104	332	2837
105	333	2815
106	334	2792
107	335	2770
108	336	2748
109	337	2727
110	337	2706
111	338	2687
112	339	2666
113	340	2645
114	341	2626
115	341	2606
116	342	2587
117	343	2569
118	344	2549
119	345	2531
120	346	2513
121	346	2497
122	347	2477
123	348	2460
124	349	2443
125	349	2427
126	350	2411
127	351	2393
128	352	2378
129	353	2362
130	353	2347
131	354	2332
132	355	2317
133	356	2303
134	357	2288
135	358	2274
136	358	2260
137	359	2246
138	360	2233
139	361	2220
140	362	2207
141	363	2194
142	363	2180
143	364	2167
144	365	2155
145	366	2143
146	367	2131
147	368	2119
148	369	2107
149	369	2095
150	370	2084
151	371	2073
152	372	2061
153	373	2051
154	374	2040
155	375	2028
156	375	2018
157	376	2008
158	377	1998
159	378	1987
160	379	1977
161	380	1967
162	381	1957
163	382	1947
164	383	1938
165	383	1928
166	384	1918
167	385	1909
168	386	1900
169	387	1891
170	388	1882
171	389	1873
172	390	1864
173	390	1855
174	391	1846
175	392	1838
176	393	1829
177	394	1820
178	395	1812
179	396	1804
180	396	1794
181	397	1785
182	398	1777
183	399	1769
184	399	1761
185	400	1753
186	401	1745
187	402	1738
188	403	1730
189	404	1722
190	405	1715
191	406	1708
192	406	1701
193	407	1694
194	408	1686
195	409	1679
196	410	1672
197	411	1665
198	412	1658
199	413	1652
200	413	1645
201	414	1638
202	415	1631
203	416	1624
204	417	1617
205	418	1611
206	418	1605
207	419	1598
208	420	1591
209	421	1585
210	422	1579
211	423	1572
212	424	1566
213	424	1560
214	425	1554
215	426	1548
216	427	1542
217	428	1536
218	429	1530
219	429	1524
220	430	1518
221	431	1512
222	432	1506
223	433	1500
224	434	1494
225	434	1489
226	435	1483
227	436	1478
228	437	1472
229	438	1467
230	439	1462
231	440	1457
232	440	1451
233	441	1446
234	442	1440
235	443	1435
236	444	1430
237	445	1425
238	445	1419
239	446	1414
240	447	1409
241	448	1404
242	449	1399
243	450	1394
244	450	1389
245	451	1385
246	452	1380
247	453	1375
248	454	1370
249	455	1365
250	456	1360
251	456	1355
252	457	1351
253	458	1346
254	459	1341
255	460	1337
256	460	1332
257	461	1327
258	462	1323
259	463	1319
260	464	1314
261	465	1310
262	465	1305
263	466	1301
264	467	1296
265	468	1292
266	469	1288
267	470	1283
268	470	1279
269	471	1275
270	472	1271
271	473	1266
272	474	1262
273	474	1258
274	475	1254
275	476	1250
276	477	1246
277	478	1242
278	479	1238
279	480	1234
280	480	1230
281	481	1226
282	482	1222
283	483	1218
284	484	1214
285	485	1210
286	485	1207
287	486	1203
288	487	1199
289	488	1195
290	489	1192
291	490	1188
292	490	1184
293	491	1180
294	492	1177
295	493	1173
296	494	1170
297	495	1166
298	496	1163
299	496	1159
300	497	1155
301	498	1152
302	499	1148
303	500	1145
304	501	1141
305	501	1138
306	502	1134
307	503	1131
308	504	1127
309	505	1124
310	506	1121
311	506	1117
312	507	1114
313	508	1111
314	509	1108
315	510	1105
316	511	1101
317	512	1098
318	513	1095
319	513	1091
320	514	1088
321	515	1085
322	516	1082
323	517	1078
324	517	1075
325	518	1072
326	519	1069
327	520	1066
328	521	1063
329	522	1059
330	522	1056
331	523	1053
332	524	1050
333	525	1047
334	526	1044
335	527	1041
336	528	1038
337	528	1035
338	529	1032
339	530	1029
340	531	1026
341	532	1024
342	533	1021
343	533	1018
344	534	1015
345	535	1012
346	536	1009
347	537	1006
348	538	1004
349	539	1001
350	540	998
351	540	995
352	541	992
353	542	990
354	543	987
355	544	985
356	545	982
357	546	980
358	547	977
359	548	975
360	549	972
361	550	969
362	551	966
363	551	964
364	552	961
365	553	959
366	554	956
367	555	953
368	556	950
369	556	948
370	557	945
371	558	943
372	559	940
373	560	937
374	561	935
375	562	932
376	562	930
377	563	927
378	564	925
379	565	922
380	566	919
381	567	917
382	567	914
383	568	912
384	569	909
385	570	907
386	571	904
387	571	902
388	572	899
389	573	897
390	574	894
391	575	892
392	576	889
393	577	887
394	577	885
395	578	882
396	579	880
397	580	877
398	581	875
399	582	873
400	582	870
401	583	868
402	584	866
403	585	863
404	586	861
405	587	859
406	588	857
407	589	854
408	589	852
409	590	850
410	591	847
411	592	845
412	593	843
413	594	840
414	594	838
415	595	836
416	596	834
417	597	831
418	598	829
419	599	827
420	600	825
421	600	823
422	601	820
423	602	818
424	603	816
425	604	814
426	605	812
427	606	809
428	606	807
429	607	805
430	608	803
431	609	801
432	610	799
433	611	797
434	611	794
435	612	792
436	613	790
437	614	788
438	615	786
439	616	784
440	617	782
441	617	780
442	618	777
443	619	775
444	620	773
445	621	771
446	622	769
447	622	767
448	623	765
449	624	763
450	625	761
451	626	759
452	627	757
453	628	755
454	629	753
455	629	751
456	630	749
457	631	747
458	632	745
459	633	743
460	634	741
461	634	739
462	635	737
463	636	735
464	637	733
465	638	731
466	639	729
467	640	727
468	640	725
469	641	723
470	642	721
471	643	719
472	644	717
473	645	715
474	645	713
475	646	712
476	647	710
477	648	708
478	649	706
479	650	704
480	651	702
481	652	701
482	653	699
483	654	697
484	655	695
485	655	693
486	656	691
487	657	690
488	658	688
489	659	686
490	660	684
491	661	682
492	661	680
493	662	678
494	663	676
495	664	675
496	665	673
497	666	671
498	667	669
499	667	667
500	668	666
501	669	664
502	670	662
503	671	660
504	672	658
505	673	657
506	673	655
507	674	653
508	675	651
509	676	649
510	677	648
511	678	646
512	678	644
513	679	642
514	680	640
515	681	639
516	682	637
517	683	635
518	684	633
519	684	632
520	685	630
521	686	628
522	687	626
523	688	625
524	688	623
525	689	621
526	690	619
527	691	618
528	692	616
529	693	614
530	693	612
531	694	611
532	695	609
533	696	607
534	697	606
535	698	604
536	699	602
537	699	600
538	700	599
539	701	597
540	702	595
541	703	594
542	703	592
543	704	590
544	705	589
545	706	587
546	707	585
547	708	584
548	708	582
549	709	580
550	710	579
551	711	577
552	712	575
553	713	574
554	713	572
555	714	570
556	715	569
557	716	567
558	717	565
559	718	564
560	719	562
561	719	560
562	720	559
563	721	557
564	722	556
565	723	554
566	723	552
567	724	551
568	725	549
569	726	548
570	727	546
571	728	544
572	729	543
573	730	541
574	730	540
575	731	538
576	732	537
577	733	535
578	734	533
579	735	532
580	736	530
581	736	529
582	737	527
583	738	526
584	739	524
585	740	523
586	741	521
587	741	519
588	742	518
589	743	516
590	744	515
591	745	513
592	746	512
593	747	510
594	748	509
595	748	507
596	749	506
597	750	504
598	751	502
599	752	501
600	752	499
601	753	498
602	754	496
603	755	495
604	756	493
605	757	492
606	758	490
607	758	489
608	759	487
609	760	486
610	761	484
611	762	483
612	763	481
613	763	480
614	764	478
615	765	477
616	766	475
617	767	474
618	768	472
619	768	471
620	769	469
621	770	468
622	771	467
623	772	465
624	773	464
625	774	462
626	775	461
