iter	Passed	Remaining
0	248	248419
1	251	125546
2	254	84425
3	256	63846
4	259	51577
5	261	43340
6	263	37417
7	266	33003
8	268	29562
9	270	26795
10	273	24586
11	275	22713
12	278	21136
13	280	19777
14	283	18584
15	285	17554
16	288	16675
17	290	15858
18	292	15122
19	295	14462
20	297	13881
21	300	13347
22	302	12866
23	305	12416
24	307	12009
25	310	11619
26	312	11260
27	315	10948
28	317	10639
29	320	10348
30	322	10080
31	324	9820
32	326	9580
33	329	9370
34	332	9158
35	334	8961
36	337	8773
37	339	8591
38	341	8419
39	344	8261
40	346	8107
41	349	7965
42	351	7822
43	353	7686
44	356	7559
45	358	7442
46	361	7323
47	363	7208
48	365	7099
49	368	6993
50	370	6893
51	373	6802
52	375	6711
53	377	6618
54	380	6529
55	382	6444
56	384	6365
57	387	6295
58	390	6223
59	392	6152
60	395	6081
61	397	6012
62	399	5947
63	402	5885
64	404	5823
65	406	5755
66	408	5685
67	409	5616
68	411	5550
69	412	5486
70	414	5425
71	415	5361
72	417	5297
73	418	5235
74	419	5176
75	421	5129
76	423	5074
77	424	5015
78	425	4958
79	426	4902
80	427	4847
81	428	4795
82	428	4739
83	430	4690
84	431	4639
85	431	4591
86	432	4542
87	433	4494
88	434	4449
89	435	4404
90	436	4362
91	437	4320
92	438	4279
93	439	4237
94	440	4197
95	441	4156
96	442	4118
97	443	4081
98	444	4043
99	445	4007
100	446	3971
101	447	3935
102	448	3901
103	448	3867
104	449	3833
105	450	3800
106	451	3768
107	452	3736
108	453	3706
109	454	3675
110	455	3645
111	456	3616
112	457	3588
113	458	3562
114	459	3535
115	460	3509
116	461	3481
117	462	3457
118	463	3431
119	464	3405
120	465	3380
121	466	3354
122	467	3330
123	467	3306
124	468	3282
125	469	3258
126	470	3234
127	471	3211
128	472	3190
129	473	3169
130	474	3150
131	475	3128
132	476	3107
133	477	3086
134	478	3067
135	479	3046
136	480	3026
137	481	3006
138	482	2987
139	483	2967
140	484	2948
141	484	2928
142	485	2909
143	486	2891
144	487	2874
145	488	2857
146	489	2839
147	490	2822
148	491	2805
149	492	2788
150	492	2771
151	493	2755
152	494	2739
153	495	2723
154	496	2707
155	497	2691
156	498	2676
157	499	2660
158	500	2645
159	501	2630
160	501	2614
161	503	2603
162	504	2589
163	505	2575
164	506	2560
165	506	2546
166	507	2532
167	508	2519
168	509	2505
169	510	2492
170	511	2479
171	512	2466
172	513	2453
173	514	2440
174	514	2427
175	515	2415
176	516	2403
177	517	2391
178	518	2380
179	519	2367
180	520	2355
181	521	2343
182	522	2332
183	523	2320
184	524	2309
185	525	2297
186	525	2286
187	526	2275
188	527	2264
189	528	2254
190	529	2243
191	530	2232
192	531	2222
193	532	2212
194	533	2202
195	534	2192
196	535	2181
197	536	2171
198	537	2161
199	537	2151
200	538	2141
201	539	2132
202	540	2122
203	541	2113
204	542	2104
205	543	2094
206	544	2085
207	545	2076
208	546	2067
209	547	2059
210	548	2050
211	549	2042
212	550	2033
213	551	2025
214	552	2018
215	553	2009
216	554	2001
217	555	1992
218	556	1983
219	557	1975
220	557	1966
221	558	1957
222	559	1949
223	560	1941
224	561	1932
225	562	1925
226	563	1917
227	563	1909
228	564	1901
229	565	1894
230	566	1886
231	567	1879
232	568	1871
233	569	1863
234	570	1855
235	570	1848
236	571	1840
237	572	1832
238	573	1825
239	574	1818
240	575	1811
241	576	1804
242	577	1798
243	578	1790
244	578	1783
245	579	1776
246	580	1769
247	581	1762
248	582	1755
249	582	1748
250	583	1741
251	584	1735
252	585	1728
253	586	1721
254	587	1715
255	587	1708
256	588	1702
257	590	1696
258	591	1691
259	592	1685
260	593	1679
261	594	1673
262	595	1667
263	596	1661
264	597	1656
